id;cstd_office_type;name;cstd_classifier_code;effective_date;expiry_date;phone;fax;stl;mng_office;physical_adr;postal_aadr;pin_code;cstd_week_working_day;office_code;cstd_office_sub_type;cstd_office_func_type;cc_version
1;facilitate Tasty Concrete Chips Exclusiv;Buckinghamshire capability zero tolerance;mission-critical;2019-09-01T14:30:25;2019-09-02T01:52:53;002-396-2615 x449;Persistent Bulgarian Lev;24/7 Re-contextualized cross-platform;47030;../data/blob/hipster.txt;../data/blob/hipster.txt;Orchestrator de;Licensed hacking installation;Argenti;Kentucky Algerian Dinar Clothing;open-source turn-key;9617
2;Quality;synthesize Creative;Forint;2019-09-01T20:18:02;2019-09-02T11:13:20;958-622-6189;Borders content-based;Tasty Customer Human;63310;../data/blob/hipster.txt;../data/blob/hipster.txt;B2B;Saint Helena Pound programming;AI opti;Marketing;Dynamic Home Loan Account Tools;10147
3;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;2019-09-02T06:08:09;2019-09-02T09:39:13;1-367-876-3550 x5362;Persevering;Coordinator Cambridgeshire Investor;43439;../data/blob/hipster.txt;../data/blob/hipster.txt;dot-com payment;white sensor local;calcula;Chips;Villages uniform PCI;74771
4;Factors;architectures;Wisconsin Facilitator Incredible;2019-09-02T06:36:32;2019-09-02T04:42:11;823.413.5398;Intranet Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;87737;../data/blob/hipster.txt;../data/blob/hipster.txt;program;Metal array France;redunda;Synergistic Personal Loan Account Sleek;Borders;79829
5;deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;2019-09-02T13:04:58;2019-09-02T06:04:11;(159) 285-8020 x083;Brunei Darussalam interface;compress lavender Investment Account;8534;../data/blob/hipster.txt;../data/blob/hipster.txt;Intelligent Gra;Frozen Analyst card;redunda;content;Gorgeous Electronics Brand;83598
6;Saudi Riyal paradigms;Corporate;Enterprise-wide Benin;2019-09-01T20:47:43;2019-09-02T09:33:24;(926) 957-6546 x7402;strategic hack;leading-edge;9179;../data/blob/hipster.txt;../data/blob/hipster.txt;Small;JBOD;Shoes M;Hollow Shoes systems;Generic Frozen Tuna HTTP;26089
7;Kids Optimization;EXE payment;Checking Account;2019-09-01T15:17:32;2019-09-01T22:31:39;1-085-698-5635 x61485;Web revolutionize Branding;teal analyzing yellow;37725;../data/blob/hipster.txt;../data/blob/hipster.txt;Ergonomic Rubbe;Handcrafted Plastic Shirt quantifying;wireles;hybrid;Solomon Islands Dollar;34833
8;Accountability Handmade Cotton Bacon;intermediate Table quantify;Wyoming interface Cotton;2019-09-02T07:56:42;2019-09-01T19:18:42;389.582.4677 x721;Global Berkshire;monetize superstructure Fantastic;5348;../data/blob/hipster.txt;../data/blob/hipster.txt;Interactions;Fantastic time-frame Quality;Borders;methodical;Pakistan;21272
9;Data neural Wooden;Cambridgeshire Tasty Rubber Car mindshare;Guam bandwidth Liaison;2019-09-01T21:25:58;2019-09-01T19:40:10;681-804-7203 x88710;Intelligent Planner;PCI SAS;23668;../data/blob/hipster.txt;../data/blob/hipster.txt;Principal Penns;Sleek navigate Oklahoma;Triple-;Bedfordshire Tools;Arizona hack;76719
10;quantifying;synthesize Idaho Markets;Glen Refined;2019-09-02T01:15:53;2019-09-02T08:34:45;980-995-0380 x599;Gorgeous Rubber Chicken Associate Central African ;magenta heuristic;99583;../data/blob/hipster.txt;../data/blob/hipster.txt;Naira iterate;Unbranded Plastic Chips Brand Regional;Generic;olive;facilitate Persevering;26593
